"title","subtitle","location"
"Evangelisches Krankenhaus Wien","Klinik","Wien"
"Evangelisches Realgymnasium Donaustadt/WMS","Bildungsangebote / Innovative Schulformen / Gymnasien","Wien"
"Evangelisches Schülerheim","","Bad Goisern"
"FaBI-Familienbegleitung für Kinder und Jugendliche mit Behinderung durch Inklusion","Familienbegleitung / Mobile Dienste","Wien"
"Familien- und Erziehungsberatung","Beratung / Familienberatung / Jugendberatung","Linz"
"Familienentlastung","Freizeit-, Sport- und Kulturangebote / Mobile Dienste / Angehörigen-Entlastung / Pflegende Angehörige / Mobile Begleitung für Menschen mit Behinderungen","Schladming"
"femme! empower, employ, emulate me","Beratung / Frauenberatung / Integrationsarbeit","Klagenfurt"
"femme.plus - empower, employ, emulate me","Beratung / Frauenberatung / Integrationsarbeit","Klagenfurt"
"FINI - Familien in nachhaltiger Integrationsunterstützung","Beratung / Bildungsberatung / Selbständiges Wohnen / Sozialberatung / Integrationsarbeit / Stadtteilarbeit / Arbeitsmarktberatung / Wohnbegleitung","Wien"
"Flexible Hilfen - ARGE Murau","Kinder- und Jugendhilfe / Familiencoaching / Familienbegleitung / Familienberatung / Mobile Beratung / Mobile Hilfen",""
"Flexible Hilfen - ARGE Murtal","Kinder- und Jugendhilfe / Familiencoaching / Familienbegleitung / Familienberatung / Mobile Beratung / Mobile Hilfen",""
"Flucht und Integration OÖ","Grundversorgung / Psychologische Begleitung / Rechtsberatung / Selbständiges Wohnen / Gesetzliche Vertretung UMFs","Bezirke: Oberösterreich"
"Flucht und Integration Steiermark","Grundversorgung / Wohnbegleitung / Wohngemeinschaft","Graz"
"forKIDS Therapiezentrum Imst","Therapie","Imst"
"forKIDS Therapiezentrum Innsbruck","Therapie","Innsbruck"
"forKIDS Therapiezentrum Kitzbühel","Therapie","Kitzbühel"
"forKIDS Therapiezentrum Lienz","Therapie","Lienz"
"forKIDS Therapiezentrum Reutte","Therapie","Reutte"
"forKIDS Therapiezentrum Schwaz","Therapie","Schwaz"
"forKIDS Therapiezentrum Telfs","Therapie","Telfs"
"forKIDS Therapiezentrum Wörgl","Therapie","Wörgl"
"forKIDS Therapiezentrum Zams","Therapie","Zams"
"Frauen*beratung Wien","Frauenberatung / Sozialberatung","Wien"
"Freiraum Gneis","Quartiersarbeit / Stützpunktwohnen / Wohnkoordination / Wohnquartier","Salzburg"
"Freizeitassistenz","Freizeit-, Sport- und Kulturangebote / Mobile Dienste / Angehörigen-Entlastung / Mobile Begleitung für Menschen mit Behinderungen","Schladming"
"Friedenshort - Gärtnerei und Bioladen","Betriebe / Integrative Beschäftigung / Gärtnerei und Bioladen","Gallneukirchen"
"FRISBI - Zentrum für Freizeit Sport & Bildung Gallneukirchen Linz","","Gallneukirchen"
"FRISBI - Zentrum für Freizeit, Sport & Bildung Braunau","","Mauerkirchen"
"FRISBI - Zentrum für Freizeit, Sport & Bildung Freistadt","","Bad Zell"
"FRISBI - Zentrum für Freizeit, Sport & Bildung Perg","","Ried in der Riedmark"
"FRISBI - Zentrum für Freizeit, Sport & Bildung Steyr","","Bad Hall"
"FRISBI - Zentrum für Freizeit, Sport & Bildung Urfahr Umgebung","","Oberneukirchen"
"FRISBI - Zentrum für Freizeit, Sport & Bildung Wels","","Bad Wimsbach-Neydharting"
"Frühe Hilfen - Oberösterreich","Familienbegleitung / Familienberatung / Frühe Hilfen / Mobile Beratung","Linz"
"Frühe Hilfen - Wien-Nordost","Familienbegleitung / Frühe Hilfen / Mobile Beratung","Wien"
"Frühe Hilfen – Eferding, Grieskirchen, Wels, Wels-Land","Familienbegleitung / Frühe Hilfen / Mobile Beratung","Wels"
"Frühe Hilfen – Freistadt, Rohrbach, Urfahr-Umgebung","Familienbegleitung / Frühe Hilfen / Mobile Beratung","Linz"
"Frühe Hilfen – Gmunden, Vöcklabruck","Familienbegleitung / Frühe Hilfen / Mobile Beratung","Vöcklabruck"
"Frühe Hilfen – Innviertel","Familienbegleitung / Frühe Hilfen / Mobile Beratung","Ried i.I."
"Frühe Hilfen – Linz","Familienbegleitung / Frühe Hilfen / Mobile Beratung","Linz"
"Frühe Hilfen – Linz Land, Perg","Familienbegleitung / Frühe Hilfen / Mobile Beratung","Linz"
"Frühe Hilfen – Steyr, Steyr-Land, Kirchdorf","Familienbegleitung / Frühe Hilfen / Mobile Beratung","Steyr"
"Frühe Kommunikations-Förderung Oberösterreich","Mobile Dienste / Frühförderung","Linz"
"Frühförderung Linz","Familienbegleitung / Frühförderung","Linz"
"Frühförderung Oberösterreich","Familienbegleitung / Frühförderung","Linz"
"Frühförderung Ried","Familienbegleitung / Frühförderung","Ried im Innkreis"
"Frühförderung Steyr","Familienbegleitung / Frühförderung","Steyr"
"Galerie de La Tour","","Klagenfurt am Wörthersee"
"Garten und Landschaft","Betriebe / Integrative Beschäftigung / Werkstätten","Engerwitzdorf"
"Gartenhof Waiern","Gärtnerei und Bioladen / Werkstätten","Feldkirchen"
"Gartenhof – eine inklusive Biomarke","",""
"GemEinsam - Miteinander gegen Einsamkeit","Stadtteilarbeit","Wien"
"Gemeinsam Bewegen – Integrative Sport- & Freizeitangebote","Freizeit-, Sport- und Kulturangebote","Klagenfurt"
"gernda Café und Bistro","Betriebe / Gastronomie","Klagenfurt"
